,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
70,0.01,0.2048,10.0,500,0.5333333611488342,7.648098468780518
71,0.01,0.2048,10.0,2500,0.5333333611488342,5.6208484172821045
72,0.05,0.0002,0.01,100,0.2666666805744171,18.02738380432129
73,0.05,0.0002,0.01,500,0.2666666805744171,7.781723976135254
74,0.05,0.0002,0.01,2500,0.2666666805744171,5.9097514152526855
75,0.05,0.0002,0.1,100,0.9666666388511658,17.321648120880127
76,0.05,0.0002,0.1,500,0.9333333373069763,7.981330633163452
77,0.05,0.0002,0.1,2500,0.8666666746139526,6.096246242523193
78,0.05,0.0002,1.0,100,0.9666666388511658,18.587854623794556
79,0.05,0.0002,1.0,500,0.9666666388511658,7.934460163116455
80,0.05,0.0002,1.0,2500,0.9666666388511658,5.924071311950684
81,0.05,0.0002,10.0,100,1.0,16.92551302909851
82,0.05,0.0002,10.0,500,0.9666666388511658,7.387587308883667
83,0.05,0.0002,10.0,2500,0.5333333611488342,5.766141414642334
84,0.05,0.0008,0.01,100,0.2666666805744171,16.085780143737793
85,0.05,0.0008,0.01,500,0.2666666805744171,7.5344061851501465
86,0.05,0.0008,0.01,2500,0.2666666805744171,5.594184875488281
87,0.05,0.0008,0.1,100,0.9666666388511658,16.233731031417847
88,0.05,0.0008,0.1,500,0.5333333611488342,7.3646087646484375
89,0.05,0.0008,0.1,2500,0.9333333373069763,5.57519006729126
90,0.05,0.0008,1.0,100,0.9666666388511658,16.227733373641968
91,0.05,0.0008,1.0,500,0.9666666388511658,7.2956321239471436
92,0.05,0.0008,1.0,2500,0.5333333611488342,5.63117241859436
93,0.05,0.0008,10.0,100,0.9666666388511658,16.28071641921997
94,0.05,0.0008,10.0,500,0.9333333373069763,7.538548231124878
95,0.05,0.0008,10.0,2500,0.9666666388511658,5.8101184368133545
96,0.05,0.0032,0.01,100,0.2666666805744171,16.64877939224243
97,0.05,0.0032,0.01,500,0.2666666805744171,7.499574899673462
98,0.05,0.0032,0.01,2500,0.2666666805744171,5.7386980056762695
99,0.05,0.0032,0.1,100,0.2666666805744171,19.253432989120483
100,0.05,0.0032,0.1,500,0.9666666388511658,8.756242036819458
101,0.05,0.0032,0.1,2500,0.5333333611488342,7.463681936264038
102,0.05,0.0032,1.0,100,0.9333333373069763,24.20693063735962
103,0.05,0.0032,1.0,500,0.699999988079071,10.073703289031982
104,0.05,0.0032,1.0,2500,0.5333333611488342,5.904330492019653
105,0.05,0.0032,10.0,100,0.9666666388511658,29.606526613235474
106,0.05,0.0032,10.0,500,0.8999999761581421,9.888936519622803
107,0.05,0.0032,10.0,2500,0.9333333373069763,5.840589761734009
108,0.05,0.0128,0.01,100,0.2666666805744171,31.376458644866943
109,0.05,0.0128,0.01,500,0.5333333611488342,10.115475177764893
110,0.05,0.0128,0.01,2500,0.5333333611488342,5.826002836227417
111,0.05,0.0128,0.1,100,0.5333333611488342,29.284499883651733
112,0.05,0.0128,0.1,500,0.46666666865348816,10.567304372787476
113,0.05,0.0128,0.1,2500,0.2666666805744171,6.027202606201172
114,0.05,0.0128,1.0,100,0.9666666388511658,30.195640802383423
115,0.05,0.0128,1.0,500,0.5333333611488342,9.757501363754272
116,0.05,0.0128,1.0,2500,0.46666666865348816,6.006062984466553
